configuration,window_s,cell,component,point,low,high,se
site_day,10_100,alt1_open_beginners,circuit,0.005901530327626636,0.005049082207753908,0.006743070643472027,0.0005029558939590374
site_day,10_100,alt1_open_beginners,equipment,-0.0068656341311144065,-0.007610274263976741,-0.0060901828265256305,0.0004674472960049361
site_day,10_100,alt1_open_beginners,altitude_circuit,0.005827129943553944,0.004694990778764968,0.006951792535612922,0.0006726205612636284
site_day,10_100,alt1_open_beginners,altitude_equipment,0.0005755790146647621,-0.0005284877507729658,0.0016428202909661346,0.00068007199376353
site_day,10_100,alt1_open_beginners,circuit_equipment,-0.0008326517849239767,-0.0015612959169474972,-7.25797867633327e-05,0.0004527712127868347
site_day,10_100,alt1_open_beginners,three_way,-0.0024168937635979937,-0.0035285423773972814,-0.0013444487452646985,0.0006605155619532224
site_day,10_100,alt1_open_experts,altitude,-0.0036344473104443775,-0.004725235984047982,-0.0025106264442433693,0.0006846965057462151
site_day,10_100,alt1_open_experts,circuit,0.005901530327626636,0.005049082207753908,0.006743070643472027,0.0005029558939590374
site_day,10_100,alt1_open_experts,equipment,0.0068656341311145175,0.0060901828265255194,0.0076102742639768345,0.00046744729600493715
site_day,10_100,alt1_open_experts,altitude_circuit,0.005827129943553944,0.004694990778764968,0.006951792535612922,0.0006726205612636284
site_day,10_100,alt1_open_experts,altitude_equipment,-0.0005755790146646511,-0.0016428202909660296,0.0005284877507733817,0.0006800719937635365
site_day,10_100,alt1_open_experts,circuit_equipment,0.0008326517849238657,7.257978676344367e-05,0.001561295916947486,0.0004527712127868363
site_day,10_100,alt1_open_experts,three_way,0.0024168937635979937,0.0013444487452648035,0.0035285423773974865,0.000660515561953232
site_day,10_100,alt1_closed_beginners,altitude,-0.0036344473104443775,-0.004725235984047982,-0.0025106264442433693,0.0006846965057462151
site_day,10_100,alt1_closed_beginners,circuit,-0.005901530327626636,-0.006743070643472238,-0.005049082207753908,0.0005029558939590429
site_day,10_100,alt1_closed_beginners,equipment,-0.0068656341311144065,-0.007610274263976741,-0.0060901828265256305,0.0004674472960049361
site_day,10_100,alt1_closed_beginners,altitude_circuit,-0.005827129943553722,-0.006951792535613033,-0.004694990778764752,0.0006726205612636327
site_day,10_100,alt1_closed_beginners,altitude_equipment,0.0005755790146647621,-0.0005284877507729658,0.0016428202909661346,0.00068007199376353
site_day,10_100,alt1_closed_beginners,circuit_equipment,0.0008326517849239767,7.257978676323273e-05,0.001561295916947486,0.0004527712127868339
site_day,10_100,alt1_closed_beginners,three_way,0.0024168937635977716,0.0013444487452649034,0.0035285423773974813,0.0006605155619532217
site_day,10_100,alt1_closed_experts,altitude,-0.0036344473104443775,-0.004725235984047982,-0.0025106264442433693,0.0006846965057462151
