discipline,statistic,variant,days,rho,occupied_day_pairs,bartlett_variance_factor
para,msd_1000,raw,40,-0.0010588931046972949,2066,3.3894215256212537
para,msd_1000,raw,41,-0.008322082310745351,2054,3.4179820072274754
para,msd_1000,raw,42,-0.023303663865387247,2029,3.444786176266218
para,msd_1000,raw,43,-0.015757671314532193,2045,3.4692597484257015
para,msd_1000,raw,44,0.017485838332428644,2025,3.4919046277000025
para,msd_1000,raw,45,0.019268590216336468,2004,3.5143202162657756
para,msd_1000,raw,46,0.03392630404668144,1974,3.536598978816356
para,msd_1000,raw,47,0.026977448616840413,1990,3.559373381430599
para,msd_1000,raw,48,-0.003231737656441365,1991,3.5823229109616164
para,msd_1000,raw,49,-0.003884052541281258,1983,3.604203817342128
para,msd_1000,raw,50,0.005199518608007379,1982,3.6250541253657653
para,msd_1000,raw,51,0.017413323256802397,1967,3.645290676941732
para,msd_1000,raw,52,-0.00031844620608284426,1950,3.665418642813115
para,msd_1000,raw,53,0.01783181621233212,1981,3.684775045964596
para,msd_1000,raw,54,-0.0013719261028639158,1985,3.7040749829331423
para,msd_1000,raw,55,0.012390832976620882,1954,3.7226232157900028
para,msd_1000,raw,56,0.01709177351024453,1950,3.740951541508283
para,msd_1000,raw,57,0.014756326248928498,1948,3.7592364794297906
para,msd_1000,raw,58,0.01309056628526535,1924,3.7773997410867257
para,msd_1000,raw,59,0.021177739377796757,1933,3.7953910469683496
para,msd_1000,raw,60,0.004644958437329919,1934,3.813488567299846
para,msd_1000,raw,61,0.008069731726392578,1945,3.831145020028257
para,msd_1000,raw,62,0.037488746959691184,1929,3.8484922236920847
para,msd_1000,raw,63,0.006319580740597211,1920,3.866478841428796
para,msd_1000,raw,64,0.017684751742438602,1921,3.8841008642593806
para,msd_10000,raw,0,1.0,3642,
para,msd_10000,raw,1,0.1678939591289314,2503,1.0
para,msd_10000,raw,2,0.07405905132214495,2312,1.1678939591289315
para,msd_10000,raw,3,0.036986387949553154,2257,1.2732313130533386
para,msd_10000,raw,4,0.01930263183791852,2246,1.3443931839903187
para,msd_10000,raw,5,0.008106841339773692,2183,1.394811359287674
para,msd_10000,raw,6,0.018042207359391754,2214,1.431125756599169
para,msd_10000,raw,7,0.06110874379998722,2181,1.462219528210063
para,msd_10000,raw,8,0.01796704800495206,2174,1.5008170428682304
para,msd_10000,raw,9,-0.003627563016882414,2171,1.5348300093812386
para,msd_10000,raw,10,0.031172306165885982,2183,1.5613148699882688
para,msd_10000,raw,11,0.02391901708125667,2130,1.5886519934241816
para,msd_10000,raw,12,0.03153144407335223,2155,1.615419432467652
para,msd_10000,raw,13,0.03261902858079473,2172,1.6429197953618737
para,msd_10000,raw,14,0.030312723752525424,2167,1.6711513962113198
